A Dishonourable Death,Hyrri's Bite,Hyrri's Demise
A Forest of False Idols,Araku Tiki,Ngamahu Tiki
A Rift in Time,Timeclasp,Timetwist
A Vision of Ice and Fire,Heatshiver,Frostferno
Agony at Dusk,Dusktoe,Duskblight
Ancient Doom,Doomfletch,Doomfletch's Prism
Battle Hardened,Iron Heart,The Iron Fortress
Black Devotion,Geofri's Baptism,Geofri's Devotion
Blind Faith,The Ignomon,The Effigon
Blinding Light,Eclipse Solaris,Corona Solaris
Burning Dread,Dreadarc,Dreadsurge
Cold Blooded Fury,Bloodboil,Winterweave
Cold Greed,Cameria's Maul,Cameria's Avarice
Crimson Hues,Goredrill,Sanguine Gambol
Dance of Steel,The Dancing Dervish,The Dancing Duo
Dark Instincts,Foxshade,Fox's Fortune
Darktongue's Shriek,Windscream,Windshriek
Dying Cry,Deidbell,Deidbellow
End of the Light,Icetomb,Crystal Vault
Faith Exhumed,Chober Chaber,Chaber Cairn
Fire and Brimstone,Blackgleam,The Signal Fire
Fire and Ice,Hrimsorrow,Hrimburn
From The Void,Blackheart,Voidheart
Greed's Folly,Wondertrap,Greedtrap
Heavy Blows,Craghead,Cragfall
Last of the Wildmen,Briskwrap,Wildwrap
Mouth of Horrors,Chalice of Horrors,Thirst for Horrors
Nature's Resilience,Springleaf,The Oak
Pleasure and Pain,Crown of Thorns,Martyr's Crown
Power Magnified,Reverberation Rod,Amplification Rod
Severed Limbs,Limbsplit,The Cauteriser
Song of the Sekhema,Asenath's Mark,Asenath's Chant
Sun's Punishment,Sundance,Sunspite
The Apex Predator,The Screaming Eagle,The Gryphon
The Beginning and the End,Realmshaper,Realm Ender
The Bishop's Legacy,Geofri's Crest,Geofri's Legacy
The Bloody Flowers Redux,Ezomyte Peak,Ezomyte Hold
The Bowstring's Music,Death's Harp,Death's Opus
The Dreaded Rhoa,Redbeak,Dreadbeak
The Fall of an Empire,Quecholli,Panquetzaliztli
The Flow of Energy,Shavronne's Pace,Shavronne's Gambit
The Great Leader of the North,The Magnate,The Nomad
The Great Mind of the North,The Magnate,The Tactician
The Karui Rebellion,Karui Ward,Karui Charge
The King and the Brambles,Bramblejack,Wall of Brambles
The King's Path,Kaom's Sign,Kaom's Way
The Malevolent Witch,Doedre's Tenure,Doedre's Malevolence
The Mentor,Matua Tupuna,Whakatutuki o Matua
The Misunderstood Queen,Queen's Decree,Queen's Escape
The Nightmare Awakens,Malachai's Simula,Malachai's Awakening
The Queen's Sacrifice,Atziri's Mirror,Atziri's Reflection
The Servant's Heart,Storm Cloud,The Tempest
The Silverwood,Silverbranch,Silverbough
The Snuffed Flame,Kaltenhalt,Kaltensoul
The Storm Spire,The Stormheart,The Stormwall
Trapped in the Tower,Fencoil,Mirebough
Winter's Mournful Melodies,Hrimnor's Hymn,Hrimnor's Dirge
